"Subtotal With Discount","Subtotal With Discount"
"Size","Taille"
"Third Party","Tiers"
"Title","Titre"
"To lower","To lower"
"To upper","To upper"
"All Services","Tous les services"
"Oversize","Trop grand"
"FedEx Tube","Tube FedEx"
"Invalid UPS CGI code type: %s","Type de code CGI UPS non valide : %s"
"Invalid DHL XML code type: %s","Type de code XML DHL non valide : %s"
"Invalid FedEx XML code type: %s","Type de code XML FedEx non valide : %s"
"Invalid USPS XML code type: %s","Type de code XML USPS non valide : %s"
"Destination type","Type de destination"
"Shipment type","Type de livraison"
"Shipment Duty Payment Type","Type de paiement de taxe de livraison"
"UPS type","Type UPS"
"Weight Unit","Unité de poids"
"United Parcel Service","United Parcel Service"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"Gateway URL","URL de passerelle"
"Gateway XML URL","URL XML de passerelle"
"Tracking XML URL","URL XML de suivi"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"USPS","USPS"
"Variable","Variable"
"Your Packaging","Votre paquet"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"United Parcel Service XML","XML UPS"
