Save Attribute,Save Attribute
User ID,User ID
Do you really want to cancel the queue?,Do you really want to cancel the queue?
Save Rate,Save Rate
Queue Start,Queue Start
Cross-sells,Cross-sells
Delete Rating,Delete Rating
Import Rates From www.webservicex.net,Import Rates From www.webservicex.net
Rule was successfully saved,Rule was successfully saved
Required,Required
N/A,N/A
Continue,Continue
Grid only,Grid only
View Invoice,View Invoice
Use default,Use default
Category move error,Category move error
Time,Time
Set Root Category For Store,Set Root Category For Store
Backend Table Title,Backend Table Title
Product Information,Product Information
New Website,New Website
Tax Rate,Tax Rate
Text,Text
Input Validation for Store Owner,Input Validation for Store Owner
Revenue,Revenue
No records found.,No records found.
Save Website,Save Website
Last Activity,Last Activity
Included Product Categories,Included Product Categories
Error while saving this tax class. Class with the same name already exists.,Error while saving this tax class. Class with the same name already exists.
Name In Store,Name In Store
"Error while deleting this tax rule. Please, try again later.","Error while deleting this tax rule. Please, try again later."
User was successfully deleted,User was successfully deleted
New Currency,New Currency
Add New Review,Add New Review
Store Code,Store Code
View Customers,View Customers
Number of Total Tags,Number of Total Tags
Role successfully saved.,Role successfully saved.
Delete Block,Delete Block
Subscriber,Subscriber
Customer Since,Customer Since
Password Management,Password Management
Global Attribute,Global Attribute
Delete Attribute Set,Delete Attribute Set
Rating Name,Rating Name
Paused,Paused
Product ID,Product ID
Add Product,Add Product
Poll was successfully deleted,Poll was successfully deleted
Uses per coupon,Uses per coupon
Format,Format
Configuration successfully saved,Configuration successfully saved
Coupon Code,Coupon Code
No Items Found,No Items Found
Checkout Price Rule,Checkout Price Rule
Use In Layered Navigation,Use In Layered Navigation
Invalid Table Rates File Format,Invalid Table Rates File Format
Website Code,Website Code
Save Tag,Save Tag
Tag Name,Tag Name
Manage Currencies,Manage Currencies
Credit Memo was not saved,Credit Memo was not saved
Product Tax Class Information,Product Tax Class Information
new customer,new customer
Unable to find an attribute to delete,Unable to find an attribute to delete
Delete Selected Group,Delete Selected Group
Delete Rule,Delete Rule
For matching items only,For matching items only
Url,Url
Customer Group was successfully saved,Customer Group was successfully saved
Delete Review,Delete Review
Maximum Qty Discount is Applied to,Maximum Qty Discount is Applied to
Grid (default) / List,Grid (default) / List
Manage Product Attributes,Manage Product Attributes
New System Template,New System Template
Website Name,Website Name
Edit Block,Edit Block
View,View
Delete Customer,Delete Customer
"Please, select Product Tax Class","Please, select Product Tax Class"
Search was successfully deleted,Search was successfully deleted
Save Newsletter,Save Newsletter
Letters,Letters
Synonym for,Synonym for
Conditions,Conditions
or,or
%s Tax Classes,%s Tax Classes
Attribute Identifier<br/>(For internal use. Must be unique with no spaces),Attribute Identifier<br/>(For internal use. Must be unique with no spaces)
Convert to Plain Text,Convert to Plain Text
Apply,Apply
Apply Rules,Apply Rules
Save Search,Save Search
Synonym For,Synonym For
Review was saved successfully,Review was saved successfully
Delete Selected Problems,Delete Selected Problems
"Invalid Country ""%s"" in the Row #%s","Invalid Country ""%s"" in the Row #%s"
You cannot delete account of yourself,You cannot delete account of yourself
From Date,From Date
Number Of Reviews,Number Of Reviews
Manage Label / Options,Manage Label / Options
Not Sent,Not Sent
Discount amount,Discount amount
"Error while adding a group. Please, try again later.","Error while adding a group. Please, try again later."
Resume,Resume
Redirect URL,Redirect URL
