"View Order","View Order"
"You're now Logged Out","You're now Logged Out"
"Ext. Price","Ext. Price"
"Back to Login","Back to Login"
"Edit Newsletters","Edit Newsletters"
"Update","Update"
"Billing Information","Billing Information"
"Last Viewed Items","Last Viewed Items"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Address Information","Address Information"
"Edit Address Entry","Edit Address Entry"
"Edit Account Information","Edit Account Information"
"Additional Address Entries","Additional Address Entries"
"You have no additional entries in your address book.","You have no additional entries in your address book."
"Forgot Your Password?","Forgot Your Password?"
"My Wishlist","My Wishlist"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"You have placed no products yet.","You have placed no products yet."
"Newsletters","Newsletters"
"Your account balance is: %s","Your account balance is: <strong>%s</strong>"
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"Registered Customers","Registered Customers"
"Default Billing Address","Default Billing Address"
"Confirm Password","Confirm Password"
"New Address","New Address"
"Grand Total: %s","Grand Total: <strong>%s</strong>"
"Use as my default billing address","Use as my default <strong>billing</strong> address"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Save","Save"
"Current Password","Current Password"
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"Edit Personal Information","Edit Personal Information"
"Continue Shopping","Continue Shopping"
"Manage Addresses","Manage Addresses"
"View Order List","View Order List"
"Change Billing Address","Change Billing Address"
"Items Order","Items Order"
"Primary Shipping Address","Primary Shipping Address"
"* Required Fields","* Required Fields"
"You have no primary entries in your address book.","You have no primary entries in your address book."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view."
"Default Shipping Address","Default Shipping Address"
"New Customers","New Customers"
"Save Address","Save Address"
"Use as my default shipping address","Use as my default <strong>shipping</strong> address"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"Change Password","Change Password"
"You have placed no orders yet.","You have placed no orders yet."
"Account Information","Account Information"
"Back","Back"
"Save Password","Save Password"
"Please enter your email below and we\'ll send you a new password.","Please enter your email below and we\'ll send you a new password."
"Sign up for our newsletter","Sign up for our newsletter"
"Order #%s (%s)","Order #%s (%s)"
"Contact Information","Contact Information"
"Primary Billing Address","Primary Billing Address"
"Order List...","Order List..."
"Status","Status"
"Order #","Order #"
"My Reviews","My Reviews"
"New Password","New Password"
"Date","Date"
"Login or Create an Account","Login or Create an Account"
"Shipping Method","Shipping Method"
"Confirm New Password","Confirm New Password"
"Shipping Information","Shipping Information"
"You are currently subscribed to no newsletters.","You are currently subscribed to no newsletters."
"If you have an account with us, please log in.","If you have an account with us, please log in."
"General Subscription","General Subscription"
"Last 5 Orders","Last 5 Orders"
"Login Information","Login Information"
"New Address Entry","New Address Entry"
"Qty","Qty"
"Shoppping Cart","Shoppping Cart"
"Hello, %s!","Hello, %s!"
"Personal Information","Personal Information"
"Submit","Submit"
"Default Addresses","Default Addresses"
"Details","Details"
"Please select region, state or province","Please select region, state or province"
"Product","Product"
"Delete Address","Delete Address"
"Price","Price"
"This is My Primary %s Address","This is My Primary <strong>%s</strong> Address"
"Street Address 2","Street Address 2"
"Address","Address"
"To Cart","To Cart"
"Password","Password"
"Wishlist","Wishlist"
"Go to Address Book","Go to Address Book"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","You have been successfully logged out and will be redirected to our homepage in 5 seconds."
"Email Address","Email Address"
"Remove","Remove"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Create an Account","Create an Account"
"Total","Total"
"Addresses","Addresses"
"Subscribe","Subscribe"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Change Shipping Address","Change Shipping Address"
"Retrieve your password here","Retrieve your password here"
"Newsletter","Newsletter"
"Save Subscription","Save Subscription"
